Number,Name,Latitude,Longitude,District,Public,Total docks
C32039,Park St at Norwell St,42.2944167,-71.0783056,Boston,Yes,15
S32034,Perry Park,42.379273246,-71.1034190283,Somerville,Yes,19
A32029,Piers Park,42.3648929327,-71.0349717736,Boston,Yes,19
M32029,Porter Square Station,42.387995,-71.119084,Cambridge,Yes,19
D32012,Post Office Square,42.3558543552,-71.05459746,Boston,Yes,19
S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,15
C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.0806577655,Boston,Yes,18
A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,Yes,19
M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,Yes,19
C32058,Ring Rd,42.3482783854,-71.0804485531,Boston,Yes,15
M32035,Rogers St & Land Blvd,42.3657579821,-71.0769939423,Cambridge,Yes,19
C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15
C32046,Roslindale Village - Washington St,42.2863071601,-71.1282053218,Boston,Yes,15
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.3178732935,-71.0824307799,Boston,Yes,10
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.336244448,-71.0879856348,Boston,Yes,18
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,15
E32007,S Huntington Ave at Heath St,42.3276038704,-71.1108916998,Boston,Yes,15
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14
C32036,Seaport Blvd at Sleeper St,42.3531780919,-71.0481735692,Boston,Yes,15
B32014,Seaport Hotel - Congress St at Seaport Ln,42.3488102619,-71.0416774406,Boston,Yes,19
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.3514819346,-71.0443608463,Boston,Yes,19
M32063,Sennott Park Broadway at Norfolk Street,42.3686052425,-71.0993018561,Cambridge,Yes,19
D32048,Shawmut Ave at Oak St W,42.3485454341,-71.0655918532,Boston,Yes,15
E32009,Shawmut T Stop,42.292917,-71.06575,Boston,Yes,19
M32047,Sidney Research Campus/Erie Street at Waverly,42.3577530947,-71.1039340496,Cambridge,Yes,19
D32032,Silber Way,42.3494959951,-71.1005759239,Boston,Yes,19
A32006,Soldiers Field Park - 111 Western Ave,42.3642634406,-71.1182756971,Boston,Yes,15
S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,15
S32036,Somerville City Hall Annex,42.3918981159,-71.0974537583,Somerville,Yes,15
S32020,Somerville Hospital,42.3904494902,-71.1085595005,Somerville,Yes,15
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,47
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19
C32087,Spring St at Powell St,42.277484442,-71.1634146796,Boston,Yes,19
K32007,St Mary's,42.3461970766,-71.1072868109,Brookline,Yes,15
C32024,State Street at Channel Center,42.344137,-71.052608,Boston,Yes,19
D32041,Stony Brook T Stop,42.316966,-71.104374,Boston,Yes,15
D32049,Stuart St at Berkeley St,42.3495440311,-71.0724207387,Boston,Yes,19
D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18
D32053,Sullivan Square,42.3844522564,-71.0751485453,Boston,Yes,19
A32013,Surface Rd at India St,42.358155,-71.052163,Boston,Yes,19
A32042,Surface Rd at Summer St,42.3529456978,-71.056564008,Boston,Yes,27
C32064,Sydney St at Carson St,42.320393743,-71.0535540805,Boston,Yes,19
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15
K32008,Tappan St at Brookline Hills MBTA,42.332096063,-71.1284588277,Brookline,Yes,15
